Price,Close,High,Low,Open,Volume,Daily Return,MA20,MA50
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
count,250.0,250.0,250.0,250.0,250.0,249.0,231.0,201.0
mean,170.35141708374024,171.6429846087822,168.80471420666203,170.06314264978624,59223547.6,0.0018349271503065548,171.1030509684509,171.92149260715468
std,17.32415165883527,17.256062264391698,17.52230385599982,17.519915263569594,17783316.557096258,0.01257003300391115,14.719008616663736,11.9292511135064
min,123.04681396484375,125.75341088924934,122.21021158237852,124.02119442530204,24048300.0,-0.04802012502941366,133.6360050201416,142.61224380493164
25%,159.79749298095703,160.06856607795905,158.40516024510384,159.24796007965114,47812075.0,-0.005891317680642216,161.5079685211182,163.91500854492188
50%,173.44232177734375,174.97438728548047,171.82625973495814,173.21498158939562,55110850.0,0.0018783686859504822,173.4952033996582,175.59548950195312
75%,185.25334548950195,185.88594093895517,182.78312789307333,184.39207503293443,65742925.0,0.008846052820478345,182.04056625366212,181.59093383789062
max,196.07308959960938,197.56755876987646,194.97448862167192,195.9840185786185,154357300.0,0.046926934261956044,192.3106819152832,185.02618255615235
